Author	Authority	ISNI	QA_Status
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Fordyce, David,	LCNACO|David Fordyce	https://isni.org/isni/0000000081380922	ISNIQAPASS
McCall Smith, Alexander,	LCNACO|Alexander McCall Smith	https://isni.org/isni/0000000114508989	ISNIQAPASS
Bruce, Archibald,	LCNACO|Archibald Bruce	https://isni.org/isni/0000000385901803	ISNIQAPASS
Smollett, T.	LCNACO|T Smollett	https://isni.org/isni/000000012281277X	ISNIQAPASS
Hume, David,	NLS|David Hume	https://isni.org/isni/0000000121318235	ISNIQAPASS
Hume, David,	NLS|David Hume	https://isni.org/isni/0000000121318235	ISNIQAPASS
Anderson, James,	LCNACO|James Anderson	https://isni.org/isni/0000000081578787	ISNIQAPASS
Brougham and Vaux, Henry Brougham,	LCNACO|Henry Brougham Brougham and Vaux Baron	https://isni.org/isni/0000000108565434	ISNIQAPASS
